Symbol,Side,Type,Qty,Filled Qty,Limit Price,Stop Price,Avg Fill Price,Status,Update Time,Gross PL,Net PL,Commission,Swap,Dividend,Order ID
NAS100,Sell,Take Profit,6,6,29735,,29735.1,Filled,2026-06-12 23:11:40,,,,,,909788042
NAS100,Sell,Stop Loss,6,0,,29568,,Cancelled,2026-06-12 23:11:40,,,,,,909788040
NAS100,Sell,Take Profit,10,0,29780,,,Cancelled,2026-06-12 17:41:10,,,,,,909787492
NAS100,Sell,Stop Loss,10,10,,29536,29535.1,Filled,2026-06-12 17:41:10,,,,,,909787490
NAS100,Buy,Market,10,10,,,29569.93,Filled,2026-06-12 17:41:10,-348.30,-348.30,0.00,0.00,0.00,109665519
NAS100,Sell,Take Profit,10,0,29780,,,Cancelled,2026-06-12 17:41:11,,,,,,909787493
NAS100,Sell,Stop Loss,10,10,,29532,29530.1,Filled,2026-06-12 17:41:11,,,,,,909787483
NAS100,Buy,Market,10,10,,,29520.59,Filled,2026-06-12 17:41:11,95.10,95.10,0.00,0.00,0.00,109665532
NAS100,Buy,Stop Loss,10,10,,29584,29585.65,Filled,2026-06-12 17:07:55,,,,,,909787365
NAS100,Sell,Market,10,10,,,29568.35,Filled,2026-06-12 17:07:55,-173.00,-173.00,0.00,0.00,0.00,909787363
NAS100,Sell,Stop Loss,10,10,,29534,29533.1,Filled,2026-06-12 17:23:19,,,,,,909787471
NAS100,Buy,Market,10,10,,,29627.46,Filled,2026-06-12 17:23:19,-943.60,-943.60,0.00,0.00,0.00,109665511
NAS100,Sell,Take Profit,10,10,29674,,29676.1,Filled,2026-06-12 18:00:18,,,,,,909787618
NAS100,Sell,Stop Loss,10,0,,29370,,Cancelled,2026-06-12 18:00:18,,,,,,909787617
NAS100,Buy,Market,10,10,,,29413.9,Filled,2026-06-12 18:00:18,2622.00,2622.00,0.00,0.00,0.00,109665786
NAS100,Buy,Trailing Stop,10,10,,29617.65,29622.15,Filled,2026-06-12 17:17:05,,,,,,909787410
NAS100,Sell,Market,10,10,,,29581.83,Filled,2026-06-12 17:17:05,-403.20,-403.20,0.00,0.00,0.00,109665405
NAS100,Buy,Take Profit,10,0,29404,,,Cancelled,2026-06-12 17:17:05,,,,,,909787412
NAS100,Sell,Market,10,10,,,29575.35,Filled,2026-06-12 17:12:30,-60.50,-60.50,0.00,0.00,0.00,109665403
NAS100,Sell,Take Profit,10,0,29809,,,Cancelled,2026-06-12 18:49:47,,,,,,909787615
NAS100,Sell,Stop Loss,10,10,,29513,29512.6,Filled,2026-06-12 18:49:47,,,,,,909787808
NAS100,Buy,Market,10,10,,,29405.45,Filled,2026-06-12 18:49:47,1071.50,1071.50,0.00,0.00,0.00,109665766
NAS100,Sell,Take Profit,10,10,29742,,29748.85,Filled,2026-06-12 18:21:06,,,,,,909787614
NAS100,Sell,Stop Loss,10,0,,29421,,Cancelled,2026-06-12 18:21:06,,,,,,909787602
NAS100,Buy,Market,10,10,,,29393.7,Filled,2026-06-12 18:21:06,3551.50,3551.50,0.00,0.00,0.00,109665770
NAS100,Buy,Market,6,6,,,29463.34,Filled,2026-06-12 23:11:40,1630.56,1630.56,0.00,0.00,0.00,109666503
