class,hash,time,time_iso,type,methodLabel,token,from,to,amount,chainName,chainLogo,px,USDAmount,priority,fee
WITHDRAW,0xe2911bed724c873ae40a043dc3072701990033d30d4fa60c8659c74031406125,1781509969384,2026-06-15T07:52:49.384Z,sendToEvmWithData,sendToEvmWithData,USDC,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xab961d7c42bbcd454a54b342bd191a8f090219e6,-3217924.66,Arbitrum,/chains/3.svg,1,-3217924.66,1,0
PERP,0x8446f0079e32b92d85c0043dbc73d10205de00ed3935d7ff280f9b5a5d369318,1781480417552,2026-06-14T23:40:17.552Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-492.03,,,63.93,-31455.477899999998,0,0
PERP,0xb8f9159b37fdaf3eba72043dbc73d10205da0080d2f0ce105cc1c0edf6f18929,1781480417552,2026-06-14T23:40:17.552Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-18.07,,,63.93,-1155.2151000000001,0,0
PERP,0xa07eb1c9eb49e7cba1f8043dbc73d10205d700af864d069d44475d1caa4dc1b6,1781480417552,2026-06-14T23:40:17.552Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-37.77,,,63.93,-2414.6361,0,0
PERP,0xedab3b2ed1b8a54fef24043dbc73d10205d600146cbbc4219173e68190bc7f3a,1781480417552,2026-06-14T23:40:17.552Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-1052.71,,,63.93,-67299.7503,0,0
PERP,0x3ad7c493b82762d43c51043dbc73d10205d50079532a81a6dea06fe6772b3cbe,1781480417552,2026-06-14T23:40:17.552Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-17.62,,,63.93,-1126.4466,0,0
PERP,0x88044df89e962058897e043dbc73d10205d400de39993f2a2bccf94b5d99fa43,1781480417552,2026-06-14T23:40:17.552Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-135.07,,,63.93,-8635.025099999999,0,0
PERP,0x6f89ea2751e258e57103043dbc73d10205d1000cece577b71352957a10e632d0,1781480417552,2026-06-14T23:40:17.552Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-312.8,,,63.93,-19997.304,0,0
PERP,0x570f8656053e91725889043dbc73d10205ce003ba031b044fad831a8c4326b5c,1781480417552,2026-06-14T23:40:17.552Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-20.72,,,63.93,-1324.6296,0,0
PERP,0xf168991fd21c0c7af2e2043dbc73d10205cc00056d1f2b4d95314472911fe665,1781480417552,2026-06-14T23:40:17.552Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-1306.01,,,63.93,-83493.2193,0,0
PERP,0x3e952284b88ac9ff400e043dbc73d10205cb006a538de8d1e25dcdd7778ea3e9,1781480417552,2026-06-14T23:40:17.552Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-31.56,,,63.93,-2017.6308,0,0
PERP,0xd8ee354e85684507da67043dbc73d10205c90034206b63d97cb6e0a1446c1ef2,1781480417552,2026-06-14T23:40:17.552Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-34.62,,,63.93,-2213.2565999999997,0,0
PERP,0x261abeb36bd7028c2794043dbc73d10205c8009906da215ec9e36a062adadc76,1781480417552,2026-06-14T23:40:17.552Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-35.59,,,63.93,-2275.2687,0,0
PERP,0x734748185245c01074c1043dbc73d10205c700fded48dee2170ff36b114999fb,1781480417552,2026-06-14T23:40:17.552Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-27.63,,,63.93,-1766.3859,0,0
PERP,0xc073d17d38b47d94c1ed043dbc73d10205c60062d3b79c66643c7ccff7b8577f,1781480417552,2026-06-14T23:40:17.552Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-537.07,,,63.93,-34334.8851,0,0
PERP,0x42528075b8ee312a43cc043dbc73d10205c1005b53e14ffce61b2bc877e20b14,1781480417552,2026-06-14T23:40:17.552Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-142.04,,,63.93,-9080.617199999999,0,0
PERP,0x8f7f09da9f5ceeae90f8043dbc73d10205c000c03a500d803347b52d5e50c899,1781480417552,2026-06-14T23:40:17.552Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-3.5,,,63.93,-223.755,0,0
PERP,0xdcab933f85cbac32de25043dbc73d10205bf002520cecb0480743e9244cf861d,1781480417552,2026-06-14T23:40:17.552Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-32.89,,,63.93,-2102.6577,0,0
PERP,0x7704a60952a9273b787e043dbc73d10205bd00eeedac460d1acd515c11ad0126,1781480417552,2026-06-14T23:40:17.552Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-34.22,,,63.93,-2187.6846,0,0
PERP,0xc4312f6e3917e4bfc5aa043dbc73d10205bc0053d41b039167f9dac0f81bbeaa,1781480417552,2026-06-14T23:40:17.552Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-28.96,,,63.93,-1851.4128,0,0
PERP,0x115db8d31f86a24412d7043dbc73d10205bb00b8ba89c116b5266425de8a7c2e,1781480417552,2026-06-14T23:40:17.552Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-116.3,,,63.93,-7435.059,0,0
PERP,0x0000000000000000000000000000000000000000000000000000000000000000,1781480412039,2026-06-14T23:40:12.039Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-0.66,,,63.93,-42.1938,0,0
PERP,0xc889e4969359cbfdca03043dbc6f9f02037a007c2e5ceacf6c528fe9525da5e8,1781480343903,2026-06-14T23:39:03.903Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-0.2,,,63.93,-12.786000000000001,0,0
PERP,0x33bfe1012c28b8c83539043dbc6f6a02015800e6c72bd79ad7888c53eb2c92b2,1781480340087,2026-06-14T23:39:00.087Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-3.91,,,63.93,-249.96630000000002,0,0
PERP,0xd4f3bc381cad8445d66d043dbc6f3201b800d41db7a0a31778bc678adba15e30,1781480336053,2026-06-14T23:38:56.053Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-0.2,,,63.93,-12.786000000000001,0,0
PERP,0x64337ae8ba20928465ad043dbc6f2d02012900ce5523b15607fc263b79246c6f,1781480335650,2026-06-14T23:38:55.650Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-21.34,,,63.93,-1364.2662,0,0
PERP,0x5f7e5db9e809c05c60f8043dbc6ec50209bf009f830cdf2e0347090ca70d9a47,1781480328632,2026-06-14T23:38:48.632Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-4.6,,,63.93,-294.078,0,0
PERP,0xc786c11498fdd7c9c900043dbc6ec50204a600fa33f0f69b6b4f6c6757f1b1b4,1781480328632,2026-06-14T23:38:48.632Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-57.97,,,63.93,-3706.0221,0,0
PERP,0x8676d9c21871fa9e87f0043dbc6ebf0201fc00a7b37519702a3f8514d775d489,1781480328172,2026-06-14T23:38:48.172Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-34.2,,,63.93,-2186.406,0,0
PERP,0x344862fcaadde97835c2043dbc6ebe0201d700e245d1084ad8110e4f69d1c362,1781480328102,2026-06-14T23:38:48.102Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-57.97,,,63.93,-3706.0221,0,0
PERP,0x64ed5202e6d322d26667043dbc6eba0202ab00e881d641a408b5fd55a5d6fcbd,1781480327847,2026-06-14T23:38:47.847Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-57.97,,,63.93,-3706.0221,0,0
PERP,0xe6cc00fb670cd667e845043dbc6eba0202a600e1020ff5398a94ac4e2600b052,1781480327847,2026-06-14T23:38:47.847Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-34.2,,,63.93,-2186.406,0,0
PERP,0x1ca215435f74fc7c1e1b043dbc6eb502019e0028fa781b4ec06ac0961e78d666,1781480327499,2026-06-14T23:38:47.499Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-9.75,,,63.93,-623.3175,0,0
PERP,0x8674fec0c21d06e187ee043dbc6eb402011d00a65d1025b32a3daa138110e0cc,1781480327433,2026-06-14T23:38:47.433Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-34.2,,,63.93,-2186.406,0,0
PERP,0xd3a18825a88bc465d51b043dbc6eb402011c000b438ee337776a3378678f9e50,1781480327433,2026-06-14T23:38:47.433Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-57.07,,,63.93,-3648.4851,0,0
PERP,0x20ce118a8efa81ea2247043dbc6eb402011b007029fda0bcc496bcdd4dfe5bd4,1781480327433,2026-06-14T23:38:47.433Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-57.97,,,63.93,-3706.0221,0,0
PERP,0xe392e0860a91f427e50c043dbc6ead020348006ba59512f9875b8bd8c995ce12,1781480326952,2026-06-14T23:38:46.952Z,Close Long,,HYPE-USD,0xAB961d7C42BBcd454A54b342Bd191a8f090219E6,0xffffffffffffffffffffffffffffffffffffffff,-0.2,,,63.93,-12.786000000000001,0,0
