Symbol,Side,Type,Quantity,Limit price,Stop price,Fill price,Status,Commission,Placing time,Closing time,Order ID,Level ID,Leverage,Margin
CRYPTO:BTCUSD,Sell,Market,20,,,,Rejected,,2026-06-19 21:11:55,2026-06-19 21:11:55,3202341815,,50:1,
CRYPTO:BTCUSD,Sell,Market,100,,,63053.93,Filled,,2026-06-19 21:10:38,2026-06-19 21:10:38,3202340202,,50:1,"126,107.86 USD"
CAPITALCOM:NAS100,Buy,Market,420,,,30324.2,Filled,,2026-06-19 21:09:13,2026-06-19 21:09:13,3202338345,,100:1,"127,361.64 USD"
CAPITALCOM:NAS100,Sell,Market,20,,,,Rejected,,2026-06-19 20:24:41,2026-06-19 20:24:41,3202255012,,100:1,
CAPITALCOM:NAS100,Sell,Market,20,,,,Rejected,,2026-06-19 20:10:23,2026-06-19 20:10:23,3202223027,,100:1,
CAPITALCOM:NAS100,Sell,Market,20,,,30316.8,Filled,,2026-06-19 20:10:21,2026-06-19 20:10:21,3202222922,,100:1,"6,063.36 USD"
CAPITALCOM:NAS100,Buy,Limit,420,30290.1,,,Cancelled,,2026-06-19 20:02:56,2026-06-19 21:09:13,3202201244,,,
CAPITALCOM:NAS100,Buy,Stop,420,,30320.8,,Cancelled,,2026-06-19 20:02:43,2026-06-19 21:09:13,3202200601,,,
CAPITALCOM:NAS100,Sell,Market,400,,,30321.6,Filled,,2026-06-19 20:02:36,2026-06-19 20:02:36,3202200242,,100:1,"121,286.40 USD"
CAPITALCOM:NAS100,Sell,Limit,20,30376,,30376.7,Filled,,2026-06-19 18:58:52,2026-06-19 19:34:20,3201992116,,100:1,"6,075.20 USD"
CAPITALCOM:NAS100,Sell,Market,20,,,30361.4,Filled,,2026-06-19 18:54:34,2026-06-19 18:54:34,3201980537,,100:1,"6,072.28 USD"
CAPITALCOM:NAS100,Sell,Limit,20,30409.8,,,Cancelled,,2026-06-19 18:38:50,2026-06-19 21:09:26,3201926407,,100:1,
CAPITALCOM:NAS100,Sell,Limit,360,30429.5,,,Cancelled,,2026-06-19 18:38:32,2026-06-19 19:52:36,3201925389,,,
CAPITALCOM:NAS100,Sell,Stop,360,,30345.1,30344.4,Filled,,2026-06-19 18:38:06,2026-06-19 19:52:36,3201923673,,,
CAPITALCOM:NAS100,Buy,Market,400,,,30336,Filled,,2026-06-19 18:37:49,2026-06-19 18:37:49,3201922690,,100:1,"121,344.00 USD"
CAPITALCOM:NAS100,Sell,Limit,360,30445.8,,,Cancelled,,2026-06-19 18:36:30,2026-06-19 18:37:06,3201918108,,,
CAPITALCOM:NAS100,Sell,Stop,360,,30338.4,30336.9,Filled,,2026-06-19 18:36:21,2026-06-19 18:37:06,3201917537,,,
CAPITALCOM:NAS100,Buy,Market,60,,,,Rejected,,2026-06-19 18:36:14,2026-06-19 18:36:15,3201917120,,100:1,
CAPITALCOM:NAS100,Buy,Market,60,,,,Rejected,,2026-06-19 18:36:13,2026-06-19 18:36:13,3201917042,,100:1,
